ID,Name,Default short code,Functional group,Sources using,Annotation count,MERMAID_BA,MERMAID_GF,Note
109,Agariciidae,AGARICIIDA,Hard coral,37,3420,Agariciidae,,
113,Porites astreoides,PorAstr,Hard coral,212,82278,Porites astreoides,,
133,Zoanthid,Zoanthid,Other Invertebrates,501,21027,Zoanthid,,
124,Broken coral rubble,C-Rubble,Other,312,270363,Rubble,,
117,Goniastrea,Goniastrea,Hard coral,343,81678,Goniastrea,,
115,Favites,Favites,Hard coral,370,43642,Favites,,
105,Dead coral,D_coral,Hard Substrate,774,625307,Dead coral,,
116,Platygyra,Platy,Hard coral,369,50117,Platygyra,,
119,Bleached Hard Coral,B_HC,Hard coral,428,54139,Bleached coral,,
139,Algae (fleshy),AL_fleshy,Algae,250,68311,Macroalgae,,
110,Montastraea cavernosa,MontaCav,Hard coral,208,283796,Montastraea cavernosa,,
107,Transect hardware,Transect,Other,279,698102,Other,,
190,Coscinaraea,Cosci,Hard coral,272,2433,Coscinaraea,,
164,Diploastrea,Diplo,Hard coral,248,15090,Diploastrea,,
185,Stylophora,Styloph,Hard coral,316,23662,Stylophora,,
170,Pocilloporidae,POCIL,Hard coral,94,253092,Pocilloporidae,,
154,Montipora stellata,MontiStel,Hard coral,9,213,Montipora stellata,,
168,Acroporidae (branching),ACR_br,Hard coral,98,863762,Acroporidae,Branching,
150,Isopora,Isopora,Hard coral,256,35866,Isopora,,
192,Echinophyllia,Echinophyl,Hard coral,257,3083,Echinophyllia,,
189,Seriatopora,Seriatop,Hard coral,278,19331,Seriatopora,,
171,Poritidae (massive),POR_mas,Hard coral,111,222375,Poritidae,Massive,
183,Sponge (massive),SP_mass,Other Invertebrates,99,14618,Sponge,Massive,
3093,Hard Coral (arborescent),HC_arb,Hard coral,32,1837,Hard coral,Arborescent,
111,Siderastrea siderea,SidSid,Hard coral,172,122090,Siderastrea siderea,,
216,Bleached Porites,B_Porit,Hard coral,109,9761,Bleached coral,,
224,Bleached Goniopora,B_Goniop,Hard coral,57,71,Bleached coral,,
201,Merulina,Merulina,Hard coral,266,10672,Merulina,,
199,Turbinaria (coral),Turbinaria,Hard coral,339,15536,Turbinaria-coral,,
4105,Junceella,Junceella,Other Invertebrates,21,353,Juncella,,
200,Symphyllia,Symph,Hard coral,241,2024,Symphyllia,,
211,Bleached Echinopora,B_Echinop,Hard coral,40,1511,Bleached coral,,
212,Bleached Montipora,B_Monti,Hard coral,94,21639,Bleached coral,,
218,Asparagopsis,Asparago,Algae,136,29329,Asparagopsis,,
227,Ascidian,ASCD,Other Invertebrates,322,18023,Ascidian,,
239,Hard Coral (encrusting),HC_encr,Hard coral,341,119250,Hard coral,Encrusting,
3241,Siderastrea stellata,SidStel,Hard coral,40,7549,Siderastrea stellata,,
2562,Jania,Jania,Algae,107,22023,Jania,,
605,Acropora (encrusting),Acr_enc,Hard coral,128,957,Acropora,Encrusting,
387,Madracis,Madracis,Hard coral,173,2873,Madracis,,
385,Isophyllia,Isophyllia,Hard coral,52,41,Isophyllia,,
390,Mycetophyllia,Mycetophy,Hard coral,93,540,Mycetophyllia,,
444,Porites compressa,PorComp,Hard coral,262,551599,Porites compressa,,
443,Porites brighami,PorBrig,Hard coral,105,156,Porites brighami,,
448,Pocillopora damicornis,PocDam,Hard coral,295,28011,Pocillopora damicornis,,
438,Montipora capitata,MontiCap,Hard coral,248,231793,Montipora capitata,,
420,Pocillopora ligulata,PocLig,Hard coral,98,161,Pocillopora ligulata,,
439,Montipora flabellata,MontiFlab,Hard coral,180,2321,Montipora flabellata,,
440,Montipora patula,MontiPat,Hard coral,188,59311,Montipora patula,,
447,Porites monticulosa,PorMont,Hard coral,85,3602,Porites monticulosa,,
428,Padina,Padina,Algae,368,130633,Padina,,
446,Porites evermanni,PorEverm,Hard coral,153,14836,Porites evermanni,,
423,Caulerpa,Caulerpa,Algae,295,39476,Caulerpa,,
403,Halimeda,Halimeda,Algae,489,637554,Halimeda,,
422,Dictyosphaeria,Dictyosph,Algae,88,2351,Dictyosphaeria,,
449,Pocillopora grandis (eydouxi),PocGran,Hard coral,194,13246,Pocillopora grandis,,
418,Neomeris,Neomeris,Algae,120,586,Neomeris,,
452,Microdictyon,Microdicty,Algae,69,20422,Microdictyon,,
429,Sargassum,Sargassum,Algae,354,283516,Sargassum,,
441,Pavona duerdeni,PavDue,Hard coral,161,4746,Pavona duerdeni,,
442,Pavona varians,PavVar,Hard coral,219,11295,Pavona varians,,
407,Aplysina fistularis,AplFist,Other Invertebrates,22,2975,Aplysina fistularis,,
415,Amphimedon compressa,AmphComp,Other Invertebrates,19,1463,Amphimedon compressa,,
406,Aplysina archeri,AplArch,Other Invertebrates,17,268,Aplysina archeri,,
474,Siderastrea,Siderastr,Hard coral,215,49668,Siderastrea,,
461,Water,WATER,Other,220,106718,Other,,
460,Fish,FISH,Other,490,8889,Other,,
515,Rock,Rock,Hard Substrate,619,847967,Rock,,
3404,Bleached Lobactis scutaria,B_LobScut,Hard coral,71,0,Bleached coral,,
621,Montipora (encrusting),Monti_encr,Hard coral,77,46823,Montipora,Encrusting,
602,Acropora (digitate),Acr_dig,Hard coral,209,44640,Acropora,Digitate,
600,Acropora (arborescent),Acr_arb,Hard coral,89,62758,Acropora,Arborescent,
603,Acropora (arborescent table),Acr_arbTab,Hard coral,30,414,Acropora,Arborescent,
601,Acropora (hispidose),Acr_hisp,Hard coral,19,63,Acropora,Branching,
611,Astreopora (encrusting),Astreo_enc,Hard coral,28,194,Astreopora,Encrusting,
613,Astreopora (massive),Astreo_mas,Hard coral,27,901,Astreopora,Massive,
608,Ctenactis,Ctena,Hard coral,228,609,Ctenactis,,
633,Heliopora,Heliop,Other Invertebrates,170,35790,Heliopora,,
599,Pocillopora verrucosa,PocVer,Hard coral,46,4799,Pocillopora verrucosa,,
610,Euphyllia,Euphyllia,Hard coral,199,2730,Euphyllia,,
643,Algae (foliose),AL_fol,Algae,37,2214,Macroalgae,Foliose,
623,Leptoria,Leptoria,Hard coral,268,19178,Leptoria,,
637,Tridacna: Giant clam,GiCl,Other Invertebrates,226,3941,Tridacna giant clam,,
609,Plerogyra,Plero,Hard coral,149,1164,Plerogyra,,
606,Acropora (plating),Acr_plat,Hard coral,40,11460,Acropora,Plates or tables,
620,Montipora (branching),Monti_br,Hard coral,56,1698,Montipora,Branching,
634,Tubipora musica,TubiMus,Other Invertebrates,31,98,Tubipora musica,,
642,Algae (filamentous),AL_filam,Algae,96,13618,Macroalgae,,
1176,Porites furcata,PorFurc,Hard coral,107,7340,Porites furcata,,
782,Stylophora pistillata,StPis,Hard coral,41,14296,Stylophora pistillata,,
770,Bleached Stylophora pistillata,B_StPis,Hard coral,33,5065,Bleached coral,,
760,Galaxea,Galaxea,Hard coral,303,29819,Galaxea,,
804,Acroporidae (hispidose),ACR_hi,Hard coral,45,3544,Acroporidae,Branching,
774,Bleached Fungia,B_Fungia,Hard coral,62,5321,Bleached coral,,
809,Cymodocea serrulata,CymSer,Seagrass,13,186780,Cymodocea serrulata,,
813,sandy mud,sand_mud,Soft Substrate,27,3108,Silt,,
815,Mud,Mud,Soft Substrate,68,620498,Silt,,
971,Favites halicora,FavHal,Hard coral,16,1207,Favites halicora,,Need to add to MERMAID. WORMS link: https://www.marinespecies.org/aphia.php?p=taxdetails&id=207447
972,Favites pentagona,FavPent,Hard coral,24,3935,Favites pentagona,,Need to add to MERMAID. WORMS link: https://www.marinespecies.org/aphia.php?p=taxdetails&id=207446
1035,Psammocora stellata,PsamStell,Hard coral,111,711,Psammocora stellata,,Need to add to MERMAID. WORMS link: https://www.marinespecies.org/aphia.php?p=taxdetails&id=287784
